20160112_174016;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4
63616445;1.598;2.501;1.486;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616455;1.917;3.222;1.772;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616465;1.583;2.443;1.431;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616475;1.543;2.345;1.412;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616485;1.516;2.282;1.404;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616495;1.689;2.678;1.560;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616505;1.736;2.936;1.666;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616515;1.685;2.779;1.568;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616525;1.567;2.482;1.486;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616535;1.610;2.564;1.533;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.45;0.00
63616545;1.580;2.462;1.463;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616555;1.612;2.521;1.474;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616565;1.722;2.790;1.639;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616575;1.781;2.888;1.646;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616585;1.552;2.349;1.396;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616595;1.568;2.353;1.420;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616605;1.497;2.361;1.431;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616615;1.777;2.865;1.643;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616625;1.690;2.849;1.603;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616635;1.619;2.572;1.529;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00
63616645;1.778;2.909;1.670;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616655;1.656;2.675;1.541;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616665;1.605;2.503;1.518;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616675;1.593;2.495;1.467;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616685;1.861;3.155;1.759;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616695;1.833;2.983;1.693;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616705;2.006;3.331;1.806;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616715;1.514;2.261;1.369;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616725;1.483;2.335;1.404;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616735;1.857;3.065;1.736;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.42;0.00
63616745;1.560;2.456;1.461;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616755;1.604;2.589;1.512;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616765;1.714;2.832;1.610;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616775;1.588;2.519;1.516;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616785;1.608;2.535;1.516;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616795;1.545;2.452;1.477;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616805;1.813;3.000;1.672;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616815;1.915;3.133;1.751;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616825;1.718;2.679;1.540;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616835;1.533;2.261;1.383;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00
63616845;1.627;2.570;1.527;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616855;1.713;2.823;1.632;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616865;1.940;3.301;1.811;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616875;2.022;3.616;1.932;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616885;1.635;2.617;1.531;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616895;1.756;2.893;1.686;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616905;1.615;2.574;1.507;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616915;1.588;2.539;1.519;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616925;1.580;2.469;1.480;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616935;1.842;2.971;1.655;0.000;31.1;31.1;31.1;31.1;12.43;12.39;12.40;0.00
63616945;1.542;2.280;1.381;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63616955;1.652;2.605;1.518;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63616965;1.617;2.530;1.545;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63616975;1.759;2.870;1.650;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63616985;1.613;2.577;1.506;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63616995;1.585;2.448;1.475;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63617005;1.652;2.667;1.568;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63617015;1.739;2.823;1.642;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63617025;1.605;2.480;1.482;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63617035;1.609;2.519;1.490;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00
63617045;1.601;2.429;1.415;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617055;1.589;2.413;1.454;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617065;1.589;2.417;1.446;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617075;1.573;2.507;1.489;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617085;1.637;2.660;1.544;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617095;1.587;2.472;1.482;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617105;1.622;2.562;1.482;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
