20160112_174016;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
63616459;0.031;4.735;1.545;1.689;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616469;0.031;4.767;1.569;1.733;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616479;0.032;4.584;1.490;1.634;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616489;0.031;5.058;1.759;1.942;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616499;0.031;4.807;1.549;1.729;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616509;0.031;5.460;1.964;2.115;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616519;0.031;4.723;1.510;1.658;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616529;0.031;4.588;1.470;1.610;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616539;0.031;4.564;1.446;1.579;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616549;0.030;4.875;1.605;1.768;31.1;31.1;31.1;31.1;0.87;12.61;12.54;12.55;
63616559;0.032;4.574;1.489;1.658;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616569;0.032;4.843;1.628;1.797;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616579;0.032;4.657;1.521;1.682;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616589;0.032;4.692;1.565;1.694;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616599;0.032;4.704;1.593;1.773;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616609;0.032;4.637;1.517;1.666;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616619;0.032;4.942;1.716;1.912;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616629;0.033;5.286;1.906;2.060;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616639;0.032;4.680;1.537;1.678;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616649;0.032;4.637;1.521;1.646;31.1;31.1;31.1;31.1;0.88;12.53;12.60;12.64;
63616659;0.033;4.467;1.431;1.560;31.1;31.1;31.1;31.1;0.89;12.52;12.58;12.59;
63616669;0.033;4.562;1.447;1.616;31.1;31.1;31.1;31.1;0.89;12.52;12.58;12.59;
63616679;0.033;4.633;1.527;1.695;31.1;31.1;31.1;31.1;0.89;12.52;12.58;12.59;
63616689;0.032;4.696;1.546;1.722;31.1;31.1;31.1;31.1;0.89;12.52;12.58;12.59;
63616699;0.033;4.653;1.527;1.683;31.1;31.1;31.1;31.1;0.89;12.52;12.58;12.59;
63616709;0.037;5.017;1.752;1.894;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616719;0.036;4.680;1.509;1.683;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616729;0.036;4.601;1.509;1.679;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616739;0.036;5.143;1.880;2.049;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616749;0.036;5.025;1.724;1.890;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616759;0.036;5.052;1.760;1.930;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616769;0.036;4.684;1.529;1.663;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616779;0.036;4.609;1.497;1.639;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616789;0.037;4.518;1.453;1.604;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616799;0.036;4.839;1.616;1.775;31.1;31.1;31.1;31.1;0.94;12.53;12.66;12.65;
63616809;0.033;4.577;1.476;1.663;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616819;0.033;5.255;1.826;2.000;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616829;0.032;5.092;1.706;1.861;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616839;0.033;4.661;1.544;1.695;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616849;0.033;4.752;1.607;1.754;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616859;0.032;4.859;1.635;1.810;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616869;0.033;5.001;1.742;1.901;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616879;0.033;6.221;2.266;2.431;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616889;0.033;4.958;1.647;1.770;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616899;0.033;4.684;1.540;1.675;31.1;31.1;31.1;31.1;0.89;12.54;12.59;12.59;
63616909;0.033;4.515;1.440;1.572;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616919;0.033;4.483;1.436;1.584;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616929;0.032;4.677;1.535;1.719;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616939;0.033;4.748;1.562;1.739;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616949;0.032;4.645;1.519;1.671;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616959;0.033;4.669;1.515;1.659;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616969;0.033;4.653;1.535;1.711;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616979;0.032;4.921;1.693;1.874;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
63616989;0.033;5.040;1.776;1.945;31.1;31.1;31.1;31.1;0.89;12.50;12.55;12.62;
