20160112_175753;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
64672663;1.843;3.078;1.737;0.000;31.1;31.1;31.1;31.1;12.46;12.40;12.43;0.00;
64672673;1.729;2.728;1.605;0.000;31.1;31.1;31.1;31.1;12.46;12.40;12.43;0.00;
64672683;1.898;3.141;1.796;0.000;31.1;31.1;31.1;31.1;12.46;12.40;12.43;0.00;
64672693;1.549;2.413;1.456;0.000;31.1;31.1;31.1;31.1;12.46;12.40;12.43;0.00;
64672703;1.686;2.790;1.554;0.000;31.1;31.1;31.1;31.1;12.46;12.40;12.43;0.00;
64672713;1.502;2.402;1.441;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672723;1.609;2.566;1.507;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672733;1.613;2.628;1.531;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672743;1.724;2.823;1.624;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672753;1.593;2.480;1.476;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672763;1.720;2.687;1.577;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672773;1.585;2.495;1.472;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672783;1.818;2.940;1.706;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672793;1.905;3.061;1.761;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672803;1.941;3.249;1.773;0.000;31.1;31.1;31.1;31.1;12.56;12.44;12.43;0.00;
64672813;1.829;3.156;1.748;0.000;31.1;31.1;31.1;31.1;12.55;12.43;12.45;0.00;
64672823;1.584;2.493;1.494;0.000;31.1;31.1;31.1;31.1;12.55;12.43;12.45;0.00;
64672833;1.572;2.548;1.467;0.000;31.1;31.1;31.1;31.1;12.55;12.43;12.45;0.00;
64672843;1.825;2.977;1.701;0.000;31.1;31.1;31.1;31.1;12.55;12.43;12.45;0.00;
64672853;1.884;3.168;1.834;0.000;31.1;31.1;31.1;31.1;12.55;12.43;12.45;0.00;
64672863;1.851;3.154;1.730;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.38;0.00;
64672873;1.863;3.170;1.804;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.38;0.00;
64672883;1.619;2.532;1.470;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.38;0.00;
