20160112_175753;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
64672689;1.791;0.000;0.000;3.231;31.1;31.1;55.4;31.1;12.51;0.06;0.00;5.16;
64672699;1.763;0.000;0.000;3.236;31.1;31.1;55.4;31.1;12.51;0.06;0.00;5.16;
64672709;1.767;0.000;0.000;3.225;31.1;31.1;55.4;31.1;12.51;0.06;0.00;5.16;
64672719;1.763;0.000;0.000;3.239;31.1;31.1;55.4;31.1;12.51;0.06;0.00;5.16;
64672729;1.759;0.000;0.000;3.234;31.1;31.1;55.4;31.1;12.51;0.06;0.00;5.16;
64672739;1.770;0.000;0.000;3.227;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672749;1.774;0.000;0.000;3.222;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672759;1.794;0.000;0.000;3.218;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672769;1.770;0.000;0.000;3.215;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672779;1.794;0.000;0.000;3.222;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672789;1.774;0.000;0.000;3.222;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672799;1.754;0.000;0.000;3.221;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672809;1.774;0.000;0.000;3.227;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672819;1.774;0.000;0.000;3.218;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672829;1.798;0.000;0.000;3.213;31.1;31.1;65.1;31.1;12.53;0.00;0.00;5.14;
64672839;1.783;0.000;0.000;3.237;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672849;1.755;0.000;0.000;3.221;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672859;1.771;0.000;0.000;3.225;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672869;1.775;0.000;0.000;3.237;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672879;1.779;0.000;0.000;3.228;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672889;1.787;0.000;0.000;3.218;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672899;1.775;0.000;0.000;3.229;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672909;1.783;0.000;0.000;3.234;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672919;1.763;0.000;0.000;3.223;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672929;1.767;0.000;0.000;3.225;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.15;
64672939;1.772;0.000;0.000;3.218;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672949;1.753;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672959;1.780;0.000;0.000;3.227;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672969;1.764;0.000;0.000;3.227;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672979;1.772;0.000;0.000;3.218;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672989;1.784;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64672999;1.776;0.000;0.000;3.221;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64673009;1.768;0.000;0.000;3.219;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64673019;1.772;0.000;0.000;3.216;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64673029;1.780;0.000;0.000;3.218;31.1;31.1;54.8;31.1;12.52;0.00;0.00;5.14;
64673039;1.775;0.000;0.000;3.228;31.1;31.1;64.2;31.1;12.46;0.00;0.00;5.14;
64673049;1.752;0.000;0.000;3.218;31.1;31.1;64.2;31.1;12.46;0.00;0.00;5.14;
64673059;1.771;0.000;0.000;3.225;31.1;31.1;64.2;31.1;12.46;0.00;0.00;5.14;
