20160121_140442;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
50681603;1.368;1.950;1.199;0.000;31.1;31.1;31.1;31.1;12.53;12.47;12.43;0.00;
50681613;1.325;1.914;1.203;0.000;31.1;31.1;31.1;31.1;12.53;12.47;12.43;0.00;
50681623;1.337;1.946;1.230;0.000;31.1;31.1;31.1;31.1;12.53;12.47;12.43;0.00;
50681633;1.305;1.883;1.210;0.000;31.1;31.1;31.1;31.1;12.53;12.47;12.43;0.00;
50681643;1.301;1.875;1.195;0.000;31.1;31.1;31.1;31.1;12.53;12.47;12.43;0.00;
50681653;1.552;2.575;1.510;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681663;1.379;2.208;1.334;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681673;1.600;2.634;1.521;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681683;1.497;2.353;1.373;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681693;1.418;2.146;1.310;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681703;1.371;2.005;1.248;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681713;1.371;1.966;1.236;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681723;1.462;2.189;1.353;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681733;1.328;1.939;1.232;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681743;1.328;1.904;1.236;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
50681753;1.304;1.860;1.188;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681763;1.308;1.848;1.219;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681773;1.516;2.526;1.469;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681783;1.375;2.179;1.329;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681793;1.547;2.460;1.422;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681803;1.822;3.037;1.708;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
50681813;1.657;2.639;1.528;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.44;0.00;
