20160121_140442;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
50681598;0.032;4.088;1.306;1.450;31.1;31.2;31.1;31.1;0.87;12.51;12.56;12.60;
50681608;0.033;4.088;1.271;1.415;31.1;31.2;31.1;31.1;0.87;12.51;12.56;12.60;
50681618;0.032;4.053;1.263;1.403;31.1;31.2;31.1;31.1;0.87;12.51;12.56;12.60;
50681628;0.033;4.045;1.259;1.399;31.1;31.2;31.1;31.1;0.87;12.51;12.56;12.60;
50681638;0.033;4.021;1.231;1.391;31.1;31.2;31.1;31.1;0.87;12.51;12.56;12.60;
50681648;0.034;4.244;1.349;1.490;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681658;0.033;4.256;1.412;1.550;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681668;0.034;4.240;1.400;1.577;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681678;0.034;4.248;1.345;1.514;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681688;0.034;4.300;1.416;1.585;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681698;0.034;4.181;1.333;1.494;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681708;0.034;4.157;1.341;1.478;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681718;0.034;4.316;1.416;1.550;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681728;0.034;4.133;1.317;1.458;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681738;0.034;4.078;1.270;1.419;31.1;31.2;31.1;31.1;0.89;12.55;12.55;12.60;
50681748;0.033;4.045;1.246;1.406;31.1;31.2;31.1;31.1;0.88;12.51;12.55;12.56;
50681758;0.033;4.025;1.234;1.402;31.1;31.2;31.1;31.1;0.88;12.51;12.55;12.56;
50681768;0.033;4.538;1.479;1.619;31.1;31.2;31.1;31.1;0.88;12.51;12.55;12.56;
50681778;0.033;3.978;1.238;1.382;31.1;31.2;31.1;31.1;0.88;12.51;12.55;12.56;
50681788;0.033;4.250;1.380;1.544;31.1;31.2;31.1;31.1;0.88;12.51;12.55;12.56;
50681798;0.032;4.570;1.503;1.678;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681808;0.033;5.530;1.895;2.061;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681818;0.032;4.262;1.369;1.511;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681828;0.033;4.218;1.412;1.515;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681838;0.032;4.120;1.305;1.448;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681848;0.032;4.428;1.452;1.559;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681858;0.032;4.108;1.289;1.436;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681868;0.033;4.068;1.282;1.401;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681878;0.032;4.554;1.483;1.626;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681888;0.032;4.305;1.404;1.547;31.1;31.2;31.1;31.1;0.87;12.51;12.55;12.58;
50681898;0.034;4.106;1.282;1.425;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681908;0.034;4.316;1.385;1.544;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681918;0.034;3.979;1.226;1.417;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681928;0.034;4.154;1.345;1.544;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681938;0.034;4.237;1.373;1.524;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681948;0.034;4.241;1.377;1.532;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681958;0.034;4.237;1.369;1.504;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681968;0.034;4.138;1.337;1.477;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681978;0.034;4.094;1.298;1.441;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681988;0.034;4.086;1.290;1.433;31.1;31.2;31.1;31.1;0.89;12.54;12.59;12.62;
50681998;0.033;4.210;1.368;1.481;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682008;0.033;4.143;1.293;1.430;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682018;0.033;4.040;1.273;1.398;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682028;0.033;4.305;1.388;1.548;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682038;0.033;3.981;1.221;1.375;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682048;0.033;4.044;1.281;1.434;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682058;0.033;4.218;1.388;1.552;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682068;0.032;4.230;1.380;1.501;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682078;0.033;4.186;1.344;1.461;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682088;0.033;4.222;1.376;1.513;31.1;31.2;31.1;31.1;0.88;12.52;12.58;12.56;
50682098;0.034;4.123;1.309;1.455;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682108;0.034;4.123;1.312;1.424;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682118;0.034;4.253;1.364;1.514;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682128;0.034;4.047;1.253;1.380;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682138;0.034;4.032;1.261;1.380;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682148;0.034;4.047;1.265;1.400;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682158;0.034;4.016;1.253;1.380;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682168;0.034;4.012;1.225;1.408;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682178;0.034;4.158;1.332;1.538;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682188;0.034;4.257;1.416;1.546;31.1;31.2;31.1;31.1;0.89;12.53;12.58;12.54;
50682198;0.034;4.209;1.348;1.481;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682208;0.034;4.244;1.372;1.509;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682218;0.034;4.125;1.312;1.433;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682228;0.034;4.125;1.316;1.433;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682238;0.034;4.395;1.459;1.592;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682248;0.034;4.125;1.297;1.445;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682258;0.034;4.367;1.420;1.568;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682268;0.034;4.066;1.269;1.394;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682278;0.034;4.034;1.237;1.370;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682288;0.034;4.058;1.245;1.390;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
50682298;0.033;4.153;1.329;1.514;31.1;31.2;31.1;31.1;0.87;12.56;12.62;12.63;
50682308;0.033;4.446;1.460;1.605;31.1;31.2;31.1;31.1;0.87;12.56;12.62;12.63;
50682318;0.032;4.268;1.388;1.514;31.1;31.2;31.1;31.1;0.87;12.56;12.62;12.63;
50682328;0.033;4.200;1.349;1.494;31.1;31.2;31.1;31.1;0.87;12.56;12.62;12.63;
50682338;0.032;4.129;1.321;1.462;31.1;31.2;31.1;31.1;0.87;12.56;12.62;12.63;
50682348;0.033;4.118;1.301;1.438;31.1;31.2;31.1;31.1;0.88;12.55;12.62;12.63;
50682358;0.033;4.546;1.563;1.708;31.1;31.2;31.1;31.1;0.88;12.55;12.62;12.63;
50682368;0.033;4.240;1.353;1.494;31.1;31.2;31.1;31.1;0.88;12.55;12.62;12.63;
50682378;0.033;4.316;1.388;1.545;31.1;31.2;31.1;31.1;0.88;12.55;12.62;12.63;
50682388;0.033;4.018;1.261;1.406;31.1;31.2;31.1;31.1;0.88;12.55;12.62;12.63;
50682398;0.033;4.014;1.233;1.377;31.1;31.2;31.1;31.1;0.88;12.55;12.58;12.62;
50682408;0.033;3.983;1.233;1.385;31.1;31.2;31.1;31.1;0.88;12.55;12.58;12.62;
50682418;0.034;3.995;1.241;1.417;31.1;31.2;31.1;31.1;0.88;12.55;12.58;12.62;
50682428;0.033;4.193;1.332;1.532;31.1;31.2;31.1;31.1;0.88;12.55;12.58;12.62;
50682438;0.034;4.225;1.368;1.556;31.1;31.2;31.1;31.1;0.88;12.55;12.58;12.62;
50682448;0.038;4.186;1.348;1.486;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682458;0.038;4.131;1.328;1.470;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682468;0.038;4.107;1.297;1.446;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682478;0.038;4.471;1.511;1.672;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682488;0.037;4.088;1.277;1.435;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682498;0.038;4.503;1.539;1.688;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682508;0.038;4.016;1.237;1.391;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682518;0.037;4.008;1.253;1.383;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682528;0.037;4.040;1.237;1.399;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682538;0.038;3.973;1.213;1.371;31.1;31.2;31.1;31.1;0.94;12.52;12.58;12.60;
50682548;0.033;4.051;1.290;1.469;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682558;0.033;4.154;1.333;1.508;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682568;0.033;4.288;1.417;1.548;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682578;0.033;4.360;1.421;1.564;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682588;0.034;4.193;1.365;1.485;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682598;0.034;4.150;1.318;1.473;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682608;0.033;4.166;1.318;1.449;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682618;0.033;4.308;1.397;1.524;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682628;0.033;4.047;1.262;1.405;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682638;0.033;4.043;1.262;1.397;31.1;31.2;31.1;31.1;0.88;12.54;12.59;12.62;
50682648;0.034;4.074;1.248;1.408;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682658;0.033;4.141;1.280;1.436;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682668;0.034;3.975;1.228;1.412;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682678;0.034;4.133;1.320;1.495;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682688;0.034;4.573;1.542;1.698;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682698;0.034;4.205;1.363;1.503;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682708;0.034;4.363;1.467;1.598;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
50682718;0.034;4.070;1.308;1.436;31.1;31.2;31.1;31.1;0.89;12.55;12.61;12.61;
