20160121_140442;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
50681611;1.763;0.000;0.000;3.925;31.1;31.1;54.6;31.1;12.48;0.00;0.00;5.16;
50681621;1.763;0.000;0.000;3.890;31.1;31.1;54.6;31.1;12.48;0.00;0.00;5.16;
50681631;1.774;0.000;0.000;3.953;31.1;31.1;54.6;31.1;12.48;0.00;0.00;5.16;
50681641;1.778;0.000;0.000;3.905;31.1;31.1;54.6;31.1;12.48;0.00;0.00;5.16;
50681651;1.763;0.000;0.000;3.938;31.1;31.1;54.6;31.1;12.48;0.00;0.00;5.16;
50681661;1.767;0.000;0.000;3.953;31.1;31.1;54.8;31.1;12.51;0.00;0.00;5.16;
50681671;1.791;0.000;0.000;3.916;31.1;31.1;54.8;31.1;12.51;0.00;0.00;5.16;
50681681;1.771;0.000;0.000;3.935;31.1;31.1;54.8;31.1;12.51;0.00;0.00;5.16;
50681691;1.767;0.000;0.000;3.910;31.1;31.1;54.8;31.1;12.51;0.00;0.00;5.16;
50681701;1.755;0.000;0.000;3.959;31.1;31.1;54.8;31.1;12.51;0.00;0.00;5.16;
50681711;1.784;0.000;0.000;3.913;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681721;1.780;0.000;0.000;3.870;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681731;1.792;0.000;0.000;3.916;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681741;1.792;0.000;0.000;3.888;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681751;1.764;0.000;0.000;3.894;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681761;1.792;0.000;0.000;3.934;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681771;1.772;0.000;0.000;3.885;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681781;1.761;0.000;0.000;3.888;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681791;1.776;0.000;0.000;3.953;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681801;1.776;0.000;0.000;3.930;31.1;31.1;55.3;31.1;12.52;0.06;0.00;5.13;
50681811;1.795;0.000;0.000;3.928;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681821;1.763;0.000;0.000;3.947;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681831;1.787;0.000;0.000;3.925;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681841;1.755;0.000;0.000;3.957;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681851;1.759;0.000;0.000;3.896;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681861;1.783;0.000;0.000;3.937;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681871;1.771;0.000;0.000;3.954;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681881;1.779;0.000;0.000;3.888;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681891;1.802;0.000;0.000;3.944;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
50681901;1.751;0.000;0.000;3.928;31.1;31.1;65.2;31.1;12.51;0.00;0.00;5.13;
