20160112_182021;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
66021003;1.818;0.000;0.000;3.230;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021013;1.818;0.000;0.000;3.227;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021023;1.787;0.000;0.000;3.236;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021033;1.806;0.000;0.000;3.233;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021043;1.818;0.000;0.000;3.236;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021053;1.806;0.000;0.000;3.225;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021063;1.806;0.000;0.000;3.241;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021073;1.810;0.000;0.000;3.236;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021083;1.806;0.000;0.000;3.224;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021093;1.806;0.000;0.000;3.233;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.14;
66021103;1.805;0.000;0.000;3.227;31.1;31.1;63.4;31.1;12.45;0.00;0.00;5.14;
66021113;1.782;0.000;0.000;3.235;31.1;31.1;63.4;31.1;12.45;0.00;0.00;5.14;
66021123;1.790;0.000;0.000;3.241;31.1;31.1;63.4;31.1;12.45;0.00;0.00;5.14;
66021133;1.813;0.000;0.000;3.245;31.1;31.1;63.4;31.1;12.45;0.00;0.00;5.14;
66021143;1.805;0.000;0.000;3.230;31.1;31.1;63.4;31.1;12.45;0.00;0.00;5.14;
66021153;1.832;0.000;0.000;3.229;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021163;1.824;0.000;0.000;3.225;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021173;1.804;0.000;0.000;3.231;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021183;1.808;0.000;0.000;3.240;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021193;1.820;0.000;0.000;3.222;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021203;1.800;0.000;0.000;3.228;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021213;1.828;0.000;0.000;3.226;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021223;1.812;0.000;0.000;3.234;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021233;1.796;0.000;0.000;3.234;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021243;1.796;0.000;0.000;3.234;31.1;31.1;54.0;31.1;12.52;0.00;0.00;5.13;
66021253;1.804;0.000;0.000;3.250;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021263;1.804;0.000;0.000;3.250;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021273;1.828;0.000;0.000;3.245;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021283;1.828;0.000;0.000;3.259;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021293;1.836;0.000;0.000;3.250;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021303;1.839;0.000;0.000;3.251;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021313;1.808;0.000;0.000;3.250;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021323;1.788;0.000;0.000;3.258;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021333;1.796;0.000;0.000;3.256;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021343;1.812;0.000;0.000;3.239;31.1;31.1;54.3;31.1;12.52;0.00;0.00;5.16;
66021353;1.806;0.000;0.000;3.245;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021363;1.814;0.000;0.000;3.235;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021373;1.818;0.000;0.000;3.242;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021383;1.810;0.000;0.000;3.245;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021393;1.802;0.000;0.000;3.235;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021403;1.810;0.000;0.000;3.238;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021413;1.787;0.000;0.000;3.235;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021423;1.787;0.000;0.000;3.245;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021433;1.810;0.000;0.000;3.245;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021443;1.787;0.000;0.000;3.246;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
66021453;1.803;0.000;0.000;3.224;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021463;1.831;0.000;0.000;3.213;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021473;1.807;0.000;0.000;3.226;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021483;1.823;0.000;0.000;3.212;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021493;1.811;0.000;0.000;3.222;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021503;1.815;0.000;0.000;3.219;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021513;1.815;0.000;0.000;3.222;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021523;1.827;0.000;0.000;3.238;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021533;1.827;0.000;0.000;3.218;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021543;1.819;0.000;0.000;3.218;31.1;31.1;63.7;31.1;12.54;0.00;0.00;5.12;
66021553;1.805;0.000;0.000;3.229;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021563;1.801;0.000;0.000;3.231;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021573;1.829;0.000;0.000;3.226;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021583;1.817;0.000;0.000;3.217;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021593;1.813;0.000;0.000;3.239;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021603;1.829;0.000;0.000;3.234;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021613;1.817;0.000;0.000;3.234;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021623;1.778;0.000;0.000;3.217;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021633;1.813;0.000;0.000;3.212;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021643;1.817;0.000;0.000;3.229;31.1;31.1;54.0;31.1;12.53;0.00;0.00;5.13;
66021653;1.808;0.000;0.000;3.232;31.1;31.1;63.6;31.1;12.52;0.00;0.00;5.15;
66021663;1.816;0.000;0.000;3.243;31.1;31.1;63.6;31.1;12.52;0.00;0.00;5.15;
66021673;1.804;0.000;0.000;3.234;31.1;31.1;63.6;31.1;12.52;0.00;0.00;5.15;
66021683;1.804;0.000;0.000;3.235;31.1;31.1;63.6;31.1;12.52;0.00;0.00;5.15;
66021693;1.800;0.000;0.000;3.242;31.1;31.1;63.6;31.1;12.52;0.00;0.00;5.15;
66021703;1.795;0.000;0.000;3.238;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021713;1.791;0.000;0.000;3.242;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021723;1.811;0.000;0.000;3.237;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021733;1.819;0.000;0.000;3.237;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021743;1.791;0.000;0.000;3.240;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021753;1.819;0.000;0.000;3.245;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021763;1.803;0.000;0.000;3.240;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021773;1.787;0.000;0.000;3.245;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021783;1.795;0.000;0.000;3.235;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021793;1.807;0.000;0.000;3.238;31.1;31.1;54.0;31.1;12.46;0.05;0.00;5.15;
66021803;1.797;0.000;0.000;3.248;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021813;1.809;0.000;0.000;3.250;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021823;1.797;0.000;0.000;3.248;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021833;1.801;0.000;0.000;3.247;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021843;1.805;0.000;0.000;3.239;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021853;1.797;0.000;0.000;3.248;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021863;1.781;0.000;0.000;3.242;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021873;1.817;0.000;0.000;3.238;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021883;1.813;0.000;0.000;3.258;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021893;1.801;0.000;0.000;3.258;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
66021903;1.827;0.000;0.000;3.232;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021913;1.811;0.000;0.000;3.227;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021923;1.807;0.000;0.000;3.232;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021933;1.811;0.000;0.000;3.238;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021943;1.799;0.000;0.000;3.227;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021953;1.827;0.000;0.000;3.232;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021963;1.819;0.000;0.000;3.236;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021973;1.796;0.000;0.000;3.242;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021983;1.796;0.000;0.000;3.232;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66021993;1.803;0.000;0.000;3.233;31.1;31.1;54.0;31.1;12.49;0.00;0.00;5.14;
66022003;1.780;0.000;0.000;3.253;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022013;1.812;0.000;0.000;3.244;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022023;1.812;0.000;0.000;3.258;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022033;1.812;0.000;0.000;3.248;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022043;1.808;0.000;0.000;3.251;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022053;1.796;0.000;0.000;3.241;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022063;1.812;0.000;0.000;3.245;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022073;1.812;0.000;0.000;3.251;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022083;1.808;0.000;0.000;3.248;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022093;1.800;0.000;0.000;3.247;31.1;31.1;63.3;31.1;12.52;0.00;0.00;5.16;
66022103;1.795;0.000;0.000;3.234;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022113;1.787;0.000;0.000;3.240;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022123;1.795;0.000;0.000;3.235;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022133;1.787;0.000;0.000;3.238;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022143;1.799;0.000;0.000;3.251;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022153;1.807;0.000;0.000;3.242;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022163;1.783;0.000;0.000;3.249;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022173;1.807;0.000;0.000;3.238;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022183;1.803;0.000;0.000;3.243;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022193;1.799;0.000;0.000;3.243;31.1;31.1;62.9;31.1;12.46;0.00;0.00;5.15;
66022203;1.804;0.000;0.000;3.244;31.1;31.1;62.6;31.1;12.52;0.00;0.00;5.16;
66022213;1.800;0.000;0.000;3.245;31.1;31.1;62.6;31.1;12.52;0.00;0.00;5.16;
66022223;1.824;0.000;0.000;3.250;31.1;31.1;62.6;31.1;12.52;0.00;0.00;5.16;
66022233;1.816;0.000;0.000;3.245;31.1;31.1;62.6;31.1;12.52;0.00;0.00;5.16;
66022243;1.796;0.000;0.000;3.255;31.1;31.1;62.6;31.1;12.52;0.00;0.00;5.16;
66022253;1.820;0.000;0.000;3.246;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022263;1.804;0.000;0.000;3.234;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022273;1.797;0.000;0.000;3.246;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022283;1.820;0.000;0.000;3.249;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022293;1.812;0.000;0.000;3.246;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022303;1.820;0.000;0.000;3.234;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022313;1.820;0.000;0.000;3.248;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022323;1.812;0.000;0.000;3.238;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022333;1.801;0.000;0.000;3.246;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022343;1.812;0.000;0.000;3.242;31.1;31.1;62.0;31.1;12.55;0.00;0.00;5.15;
66022353;1.803;0.000;0.000;3.240;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022363;1.819;0.000;0.000;3.240;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022373;1.815;0.000;0.000;3.240;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022383;1.807;0.000;0.000;3.245;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022393;1.807;0.000;0.000;3.248;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022403;1.811;0.000;0.000;3.245;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
66022413;1.796;0.000;0.000;3.246;31.1;31.1;53.3;31.1;12.49;0.00;0.00;5.15;
