20160113_105241;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
39160722;0.034;4.466;1.476;1.645;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160732;0.034;4.482;1.480;1.613;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160742;0.034;4.744;1.655;1.834;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160752;0.034;4.653;1.559;1.676;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160762;0.033;4.696;1.611;1.779;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160772;0.034;4.597;1.528;1.668;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160782;0.034;4.589;1.556;1.688;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160792;0.034;4.530;1.524;1.688;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160802;0.034;5.025;1.842;1.977;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160812;0.034;4.696;1.599;1.720;31.1;31.6;31.5;31.2;0.88;12.55;12.62;12.57;
39160822;0.034;4.934;1.729;1.895;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160832;0.034;4.463;1.443;1.583;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160842;0.034;4.415;1.447;1.610;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160852;0.034;4.494;1.491;1.681;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160862;0.034;4.811;1.646;1.772;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160872;0.034;4.696;1.618;1.784;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160882;0.034;4.831;1.685;1.856;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160892;0.034;4.526;1.527;1.662;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160902;0.034;4.562;1.542;1.685;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160912;0.034;4.704;1.661;1.836;31.1;31.6;31.5;31.2;0.89;12.54;12.58;12.58;
39160922;0.037;4.531;1.503;1.668;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160932;0.037;4.964;1.756;1.901;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160942;0.037;4.799;1.669;1.798;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160952;0.037;4.417;1.440;1.577;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160962;0.037;4.354;1.413;1.558;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160972;0.037;4.775;1.618;1.778;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160982;0.037;4.464;1.460;1.633;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39160992;0.037;4.846;1.685;1.857;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39161002;0.037;4.945;1.685;1.834;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39161012;0.037;4.543;1.523;1.684;31.1;31.6;31.5;31.2;0.93;12.48;12.52;12.54;
39161022;0.034;4.597;1.544;1.678;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161032;0.034;4.542;1.536;1.670;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161042;0.034;4.491;1.520;1.678;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161052;0.034;5.222;1.972;2.136;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161062;0.034;4.625;1.560;1.658;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161072;0.034;4.847;1.675;1.804;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161082;0.034;4.423;1.452;1.563;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161092;0.034;4.400;1.460;1.626;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161102;0.034;4.506;1.492;1.662;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161112;0.033;4.783;1.643;1.816;31.1;31.6;31.5;31.2;0.88;12.53;12.59;12.58;
39161122;0.037;4.542;1.545;1.732;31.1;31.6;31.5;31.2;0.93;12.51;12.54;12.60;
39161132;0.037;4.823;1.692;1.839;31.1;31.6;31.5;31.2;0.93;12.51;12.54;12.60;
39161142;0.037;4.511;1.498;1.656;31.1;31.6;31.5;31.2;0.93;12.51;12.54;12.60;
39161152;0.037;4.582;1.557;1.728;31.1;31.6;31.5;31.2;0.93;12.51;12.54;12.60;
39161162;0.037;4.677;1.628;1.787;31.1;31.6;31.5;31.2;0.93;12.51;12.54;12.60;
39161172;0.034;4.641;1.569;1.708;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161182;0.034;4.783;1.664;1.827;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161192;0.034;4.823;1.632;1.771;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161202;0.034;4.447;1.470;1.589;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161212;0.034;4.372;1.414;1.597;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161222;0.034;4.428;1.466;1.641;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161232;0.034;4.435;1.450;1.629;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161242;0.034;4.756;1.640;1.799;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161252;0.034;4.669;1.585;1.708;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161262;0.034;4.538;1.545;1.712;31.1;31.6;31.5;31.3;0.88;12.52;12.57;12.60;
39161272;0.039;4.576;1.507;1.672;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161282;0.039;4.803;1.669;1.806;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161292;0.039;4.644;1.555;1.727;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161302;0.039;4.994;1.811;1.987;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161312;0.039;4.644;1.527;1.668;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161322;0.039;4.895;1.693;1.818;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
39161332;0.039;4.497;1.444;1.577;31.1;31.6;31.5;31.3;0.95;12.60;12.52;12.54;
