20160113_105855;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
39535325;1.579;2.653;1.541;0.000;31.2;31.1;31.1;31.1;12.48;12.41;12.42;0.00;
39535335;1.716;2.910;1.631;0.000;31.2;31.1;31.1;31.1;12.48;12.41;12.42;0.00;
39535345;1.579;2.528;1.463;0.000;31.2;31.1;31.1;31.1;12.48;12.41;12.42;0.00;
39535355;1.610;2.621;1.521;0.000;31.2;31.1;31.1;31.1;12.48;12.41;12.42;0.00;
39535365;1.858;3.194;1.767;0.000;31.2;31.1;31.1;31.1;12.48;12.41;12.42;0.00;
39535375;1.689;2.751;1.571;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535385;1.744;2.790;1.571;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535395;1.733;2.763;1.575;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535405;1.508;2.329;1.371;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535415;1.508;2.454;1.430;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535425;1.555;2.611;1.477;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535435;1.555;2.536;1.453;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535445;1.776;3.033;1.692;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535455;2.131;4.100;2.057;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535465;1.606;2.583;1.493;0.000;31.2;31.1;31.1;31.1;12.54;12.45;12.47;0.00;
39535475;1.675;2.808;1.596;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535485;1.907;3.276;1.815;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535495;1.623;2.636;1.506;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535505;1.864;3.069;1.686;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535515;1.556;2.413;1.424;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535525;1.722;2.862;1.607;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535535;1.501;2.398;1.435;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535545;1.580;2.644;1.490;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535555;1.604;2.675;1.506;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535565;1.734;2.909;1.662;0.000;31.2;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
39535575;1.652;2.763;1.582;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
39535585;1.710;2.879;1.610;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
39535595;1.581;2.549;1.481;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
39535605;1.922;3.279;1.843;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
39535615;1.695;2.832;1.598;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
39535625;1.570;2.494;1.435;0.000;31.2;31.1;31.1;31.1;12.44;12.38;12.38;0.00;
