20160125_142151;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
51711914;1.429;2.155;1.335;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
51711924;1.335;1.983;1.233;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
51711934;1.559;2.390;1.444;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
51711944;1.445;2.230;1.335;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
51711954;1.516;2.492;1.444;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
51711964;1.302;1.897;1.212;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51711974;1.625;2.617;1.521;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51711984;1.271;1.995;1.263;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51711994;1.518;2.488;1.451;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712004;1.585;2.648;1.482;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712014;1.416;2.186;1.322;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712024;1.499;2.300;1.369;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712034;1.369;2.038;1.244;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712044;1.369;2.030;1.259;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712054;1.707;2.734;1.580;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
51712064;1.371;2.021;1.232;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712074;1.320;1.927;1.220;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712084;1.418;2.165;1.338;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712094;1.292;1.856;1.165;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712104;1.312;2.024;1.240;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712114;1.470;2.419;1.381;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712124;1.426;2.208;1.302;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712134;1.474;2.259;1.341;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712144;1.422;2.138;1.306;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712154;1.391;2.056;1.259;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
51712164;1.537;2.308;1.408;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712174;1.363;2.004;1.256;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712184;1.556;2.394;1.451;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712194;1.426;2.160;1.326;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712204;1.311;1.895;1.198;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712214;1.426;2.152;1.319;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712224;1.619;2.705;1.568;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712234;1.446;2.304;1.346;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712244;1.537;2.483;1.424;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712254;1.414;2.129;1.268;0.000;31.1;31.1;31.1;31.1;12.55;12.40;12.42;0.00;
51712264;1.353;2.015;1.246;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712274;1.593;2.616;1.507;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712284;1.577;2.472;1.445;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712294;1.337;1.969;1.226;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712304;1.393;2.121;1.292;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712314;1.306;1.910;1.199;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712324;1.393;2.070;1.277;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712334;1.322;1.988;1.226;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712344;1.487;2.437;1.425;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712354;1.518;2.448;1.421;0.000;31.1;31.1;31.1;31.1;12.50;12.42;12.43;0.00;
51712364;1.396;2.140;1.287;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712374;1.416;2.171;1.272;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712384;1.408;2.097;1.295;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712394;1.368;1.995;1.213;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712404;1.613;2.515;1.471;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712414;1.475;2.202;1.350;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712424;1.321;1.941;1.237;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712434;1.506;2.323;1.381;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712444;1.372;2.077;1.287;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712454;1.301;2.011;1.225;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.42;0.00;
51712464;1.973;3.482;1.929;0.000;31.1;31.1;31.1;31.1;12.56;12.49;12.48;0.00;
51712474;1.431;2.270;1.364;0.000;31.1;31.1;31.1;31.1;12.56;12.49;12.48;0.00;
51712484;1.601;2.568;1.490;0.000;31.1;31.1;31.1;31.1;12.56;12.49;12.48;0.00;
51712494;1.471;2.235;1.333;0.000;31.1;31.1;31.1;31.1;12.56;12.49;12.48;0.00;
51712504;1.423;2.078;1.270;0.000;31.1;31.1;31.1;31.1;12.56;12.49;12.48;0.00;
51712514;1.359;1.970;1.227;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.44;0.00;
