20160125_142151;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
51711933;0.035;4.629;1.400;1.548;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711943;0.035;4.585;1.356;1.540;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711953;0.035;4.874;1.495;1.671;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711963;0.035;4.312;1.241;1.393;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711973;0.035;5.025;1.626;1.806;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711983;0.035;4.570;1.388;1.548;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51711993;0.035;4.985;1.586;1.727;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51712003;0.035;4.554;1.396;1.520;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51712013;0.035;4.467;1.316;1.481;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51712023;0.035;4.554;1.352;1.512;31.1;31.6;31.4;31.2;0.90;12.53;12.58;12.62;
51712033;0.034;4.410;1.290;1.449;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712043;0.034;4.474;1.314;1.449;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712053;0.034;4.942;1.532;1.691;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712063;0.034;4.351;1.246;1.393;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712073;0.034;4.339;1.242;1.389;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712083;0.034;4.343;1.238;1.377;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712093;0.034;4.351;1.242;1.437;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712103;0.034;4.676;1.445;1.616;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712113;0.034;4.771;1.476;1.623;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712123;0.034;4.613;1.405;1.540;31.1;31.5;31.3;31.2;0.89;12.56;12.59;12.62;
51712133;0.034;4.586;1.376;1.509;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712143;0.034;4.456;1.321;1.465;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712153;0.034;4.417;1.301;1.453;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712163;0.034;4.515;1.325;1.493;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712173;0.034;4.633;1.400;1.568;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712183;0.034;4.965;1.586;1.758;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712193;0.034;4.460;1.301;1.433;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712203;0.034;4.302;1.230;1.386;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712213;0.034;4.476;1.337;1.473;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712223;0.034;4.657;1.452;1.631;31.1;31.6;31.4;31.2;0.89;12.49;12.55;12.59;
51712233;0.034;4.472;1.349;1.529;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712243;0.034;4.740;1.468;1.613;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712253;0.034;4.511;1.373;1.502;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712263;0.034;4.479;1.361;1.510;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712273;0.034;4.898;1.508;1.649;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712283;0.034;4.890;1.556;1.688;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712293;0.034;4.353;1.277;1.414;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712303;0.034;4.487;1.341;1.494;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712313;0.034;4.381;1.273;1.410;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712323;0.034;4.341;1.241;1.394;31.1;31.6;31.3;31.2;0.88;12.50;12.62;12.63;
51712333;0.034;4.325;1.229;1.407;31.1;31.6;31.3;31.2;0.89;12.52;12.54;12.60;
51712343;0.034;4.629;1.403;1.589;31.1;31.6;31.3;31.2;0.89;12.52;12.54;12.60;
51712353;0.034;4.645;1.403;1.625;31.1;31.6;31.3;31.2;0.89;12.52;12.54;12.60;
51712363;0.034;4.530;1.363;1.530;31.1;31.6;31.3;31.2;0.89;12.52;12.54;12.60;
51712373;0.034;4.507;1.348;1.470;31.1;31.6;31.3;31.2;0.89;12.52;12.54;12.60;
51712383;0.034;4.542;1.373;1.513;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712393;0.034;4.546;1.361;1.501;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712403;0.033;4.791;1.508;1.647;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712413;0.034;4.518;1.318;1.449;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712423;0.034;4.352;1.274;1.398;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712433;0.034;4.890;1.492;1.667;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712443;0.034;4.337;1.250;1.410;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712453;0.033;4.352;1.238;1.378;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712463;0.034;5.226;1.706;1.873;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712473;0.034;4.348;1.262;1.465;31.1;31.6;31.3;31.2;0.88;12.52;12.59;12.59;
51712483;0.034;4.859;1.549;1.725;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712493;0.034;4.779;1.462;1.614;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712503;0.034;4.562;1.378;1.515;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712513;0.034;4.423;1.311;1.440;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712523;0.034;5.037;1.632;1.797;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712533;0.034;4.403;1.303;1.456;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712543;0.034;5.326;1.752;1.880;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712553;0.034;4.435;1.279;1.424;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712563;0.034;4.344;1.231;1.408;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712573;0.034;4.672;1.442;1.598;31.1;31.5;31.3;31.2;0.89;12.54;12.60;12.61;
51712583;0.034;4.458;1.272;1.393;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712593;0.034;4.279;1.244;1.393;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712603;0.034;4.962;1.581;1.765;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712613;0.034;4.509;1.355;1.515;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712623;0.034;4.601;1.410;1.543;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712633;0.034;5.279;1.771;1.927;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712643;0.034;4.890;1.517;1.650;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712653;0.034;4.422;1.300;1.416;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712663;0.034;4.863;1.513;1.650;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712673;0.034;4.438;1.288;1.440;31.1;31.6;31.3;31.2;0.89;12.57;12.57;12.58;
51712683;0.034;4.839;1.531;1.675;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712693;0.034;4.641;1.424;1.580;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712703;0.034;4.384;1.269;1.382;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712713;0.034;4.724;1.459;1.620;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712723;0.034;4.349;1.277;1.433;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712733;0.034;4.495;1.380;1.540;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712743;0.034;4.977;1.566;1.711;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712753;0.034;4.949;1.606;1.758;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712763;0.034;4.475;1.372;1.497;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712773;0.034;4.827;1.503;1.647;31.1;31.6;31.3;31.2;0.89;12.51;12.58;12.59;
51712783;0.033;4.394;1.282;1.446;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712793;0.034;4.748;1.460;1.633;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712803;0.034;4.323;1.246;1.387;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712813;0.034;4.653;1.444;1.593;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712823;0.034;4.716;1.444;1.573;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712833;0.034;4.299;1.218;1.375;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712843;0.034;4.284;1.238;1.391;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
51712853;0.034;4.834;1.547;1.736;31.1;31.5;31.3;31.2;0.88;12.46;12.55;12.60;
