20160125_150122;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
54082031;1.731;0.000;0.000;3.324;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082041;1.728;0.000;0.000;3.323;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082051;1.728;0.000;0.000;3.323;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082061;1.696;0.000;0.000;3.335;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082071;1.735;0.000;0.000;3.335;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082081;1.712;0.000;0.000;3.315;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082091;1.692;0.000;0.000;3.321;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082101;1.724;0.000;0.000;3.334;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082111;1.716;0.000;0.000;3.321;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082121;1.712;0.000;0.000;3.321;31.1;31.1;65.3;31.1;12.51;0.00;0.00;5.16;
54082131;1.726;0.000;0.000;3.311;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082141;1.742;0.000;0.000;3.316;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082151;1.710;0.000;0.000;3.311;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082161;1.706;0.000;0.000;3.319;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082171;1.722;0.000;0.000;3.316;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082181;1.702;0.000;0.000;3.308;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082191;1.710;0.000;0.000;3.306;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082201;1.734;0.000;0.000;3.316;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082211;1.734;0.000;0.000;3.308;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082221;1.706;0.000;0.000;3.316;31.1;31.1;55.4;31.1;12.50;0.06;0.00;5.15;
54082231;1.746;0.000;0.000;3.317;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082241;1.722;0.000;0.000;3.329;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082251;1.719;0.000;0.000;3.326;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082261;1.738;0.000;0.000;3.337;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082271;1.722;0.000;0.000;3.327;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082281;1.711;0.000;0.000;3.323;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082291;1.707;0.000;0.000;3.324;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082301;1.707;0.000;0.000;3.329;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082311;1.715;0.000;0.000;3.326;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082321;1.750;0.000;0.000;3.324;31.1;31.1;55.7;31.1;12.53;0.00;0.00;5.16;
54082331;1.726;0.000;0.000;3.321;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082341;1.742;0.000;0.000;3.326;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082351;1.719;0.000;0.000;3.331;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082361;1.734;0.000;0.000;3.318;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082371;1.742;0.000;0.000;3.320;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082381;1.711;0.000;0.000;3.320;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082391;1.726;0.000;0.000;3.331;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082401;1.715;0.000;0.000;3.321;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082411;1.707;0.000;0.000;3.320;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082421;1.722;0.000;0.000;3.315;31.1;31.1;65.5;31.1;12.53;0.00;0.00;5.16;
54082431;1.714;0.000;0.000;3.316;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082441;1.710;0.000;0.000;3.320;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082451;1.698;0.000;0.000;3.319;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082461;1.721;0.000;0.000;3.319;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082471;1.702;0.000;0.000;3.313;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082481;1.706;0.000;0.000;3.322;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082491;1.725;0.000;0.000;3.314;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082501;1.714;0.000;0.000;3.317;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082511;1.702;0.000;0.000;3.322;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082521;1.729;0.000;0.000;3.313;31.1;31.1;65.1;31.1;12.44;0.00;0.00;5.15;
54082531;1.724;0.000;0.000;3.327;31.1;31.1;64.5;31.1;12.54;0.00;0.00;5.16;
54082541;1.736;0.000;0.000;3.320;31.1;31.1;64.5;31.1;12.54;0.00;0.00;5.16;
54082551;1.724;0.000;0.000;3.312;31.1;31.1;64.5;31.1;12.54;0.00;0.00;5.16;
54082561;1.728;0.000;0.000;3.321;31.1;31.1;64.5;31.1;12.54;0.00;0.00;5.16;
54082571;1.728;0.000;0.000;3.318;31.1;31.1;64.5;31.1;12.54;0.00;0.00;5.16;
54082581;1.732;0.000;0.000;3.324;31.1;31.1;63.9;31.1;12.54;0.00;0.00;5.16;
54082591;1.724;0.000;0.000;3.320;31.1;31.1;63.9;31.1;12.54;0.00;0.00;5.16;
54082601;1.744;0.000;0.000;3.318;31.1;31.1;63.9;31.1;12.54;0.00;0.00;5.16;
54082611;1.716;0.000;0.000;3.324;31.1;31.1;63.9;31.1;12.54;0.00;0.00;5.16;
54082621;1.716;0.000;0.000;3.315;31.1;31.1;63.9;31.1;12.54;0.00;0.00;5.16;
54082631;1.748;0.000;0.000;3.332;31.1;31.1;63.9;31.1;12.49;0.00;0.00;5.16;
54082641;1.729;0.000;0.000;3.326;31.1;31.1;63.9;31.1;12.49;0.00;0.00;5.16;
54082651;1.721;0.000;0.000;3.315;31.1;31.1;63.9;31.1;12.49;0.00;0.00;5.16;
54082661;1.729;0.000;0.000;3.318;31.1;31.1;63.9;31.1;12.49;0.00;0.00;5.16;
54082671;1.713;0.000;0.000;3.327;31.1;31.1;63.9;31.1;12.49;0.00;0.00;5.16;
54082681;1.695;0.000;0.000;3.312;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082691;1.722;0.000;0.000;3.323;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082701;1.718;0.000;0.000;3.317;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082711;1.702;0.000;0.000;3.326;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082721;1.710;0.000;0.000;3.318;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082731;1.710;0.000;0.000;3.329;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082741;1.734;0.000;0.000;3.318;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082751;1.710;0.000;0.000;3.323;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082761;1.730;0.000;0.000;3.338;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082771;1.734;0.000;0.000;3.321;31.1;31.1;63.6;31.1;12.50;0.00;0.00;5.16;
54082781;1.702;0.000;0.000;3.310;31.1;31.1;54.3;31.1;12.55;0.00;0.00;5.15;
54082791;1.737;0.000;0.000;3.311;31.1;31.1;54.3;31.1;12.55;0.00;0.00;5.15;
