20160111_142131;MEM2.1;CPU2;MEM2.2;CPU1;MEM1.2;MEM1.1;12V-HDD;5V-HDD;#WAARDE!;#WAARDE!;#WAARDE!
51691333;1.990;3.464;1.901;4.503;1.505;1.660;1.712;4.174;7967;7056;5886
51691343;1.652;2.650;1.607;4.435;1.461;1.617;1.712;4.247;7085;6337;5959
51691353;1.593;2.529;1.490;4.609;1.587;1.748;1.732;4.228;7138;6418;5960
51691363;1.585;2.411;1.431;4.360;1.430;1.589;1.688;4.250;6771;6035;5938
51691373;1.758;2.787;1.588;4.475;1.505;1.700;1.696;4.163;7262;6551;5859
51691383;1.459;2.325;1.420;4.428;1.487;1.651;1.708;4.188;6753;6017;5896
51691393;1.664;2.665;1.584;4.483;1.542;1.687;1.700;4.282;7148;6477;5982
51691403;1.534;2.466;1.451;4.554;1.578;1.766;1.712;4.205;7020;6329;5917
51691413;1.621;2.595;1.525;4.779;1.693;1.869;1.708;4.259;7374;6708;5967
51691423;1.664;2.684;1.545;4.487;1.539;1.675;1.692;4.246;7171;6423;5938
51691433;1.570;2.493;1.471;4.692;1.638;1.782;1.716;4.211;7185;6461;5927
51691443;1.845;3.114;1.739;5.092;1.868;2.019;1.704;4.256;8206;7471;5960
51691453;2.144;3.699;2.008;4.993;1.761;1.885;1.704;4.256;8692;7798;5960
51691463;1.589;2.513;1.487;4.590;1.582;1.707;1.692;4.263;7103;6365;5955
51691473;1.629;2.481;1.455;4.530;1.527;1.659;1.696;4.200;7011;6270;5896
51691483;1.543;2.341;1.400;4.641;1.634;1.790;1.730;4.261;6982;6367;5991
51691493;1.539;2.333;1.357;4.581;1.586;1.731;1.691;4.261;6914;6213;5952
51691503;1.602;2.532;1.463;4.558;1.566;1.691;1.691;4.215;7090;6322;5906
51691513;1.598;2.540;1.482;4.439;1.518;1.664;1.706;4.274;6979;6262;5980
51691523;1.594;2.618;1.576;4.795;1.741;1.904;1.699;4.275;7413;6815;5974
51691533;1.587;2.513;1.498;4.427;1.507;1.629;1.710;4.215;6940;6221;5925
