20160111_153646;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
56206326;0.034;4.428;1.536;1.675;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206336;0.034;4.554;1.615;1.774;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206346;0.034;4.752;1.695;1.858;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206356;0.034;4.416;1.520;1.683;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206366;0.034;4.467;1.540;1.679;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206376;0.034;4.404;1.480;1.616;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206386;0.034;4.633;1.627;1.762;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206396;0.034;4.685;1.627;1.786;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206406;0.034;4.507;1.516;1.679;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206416;0.034;4.471;1.516;1.695;31.1;31.1;31.1;31.1;0.89;12.51;12.59;12.62;
56206426;0.034;4.471;1.511;1.678;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206436;0.034;4.495;1.562;1.698;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206446;0.034;4.384;1.483;1.658;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206456;0.034;4.791;1.741;1.928;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206466;0.034;4.677;1.630;1.777;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206476;0.034;4.835;1.753;1.932;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206486;0.034;4.522;1.566;1.714;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206496;0.034;4.459;1.511;1.662;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206506;0.034;4.673;1.634;1.777;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206516;0.034;4.811;1.705;1.861;31.1;31.1;31.1;31.1;0.89;12.52;12.61;12.64;
56206526;0.034;4.332;1.475;1.618;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206536;0.034;4.672;1.630;1.805;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206546;0.034;4.459;1.507;1.678;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206556;0.034;4.494;1.535;1.698;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206566;0.034;4.554;1.606;1.765;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206576;0.034;4.435;1.535;1.666;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206586;0.034;4.605;1.630;1.777;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
56206596;0.034;5.148;1.899;2.090;31.1;31.1;31.1;31.1;0.89;12.54;12.58;12.61;
