20160122_160907;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
58147564;1.780;0.000;0.000;4.029;31.1;31.1;56.7;31.1;12.52;0.00;0.00;5.14;
58147574;1.757;0.000;0.000;4.091;31.1;31.1;56.7;31.1;12.52;0.00;0.00;5.14;
58147584;1.757;0.000;0.000;4.077;31.1;31.1;56.7;31.1;12.52;0.00;0.00;5.14;
58147594;1.729;0.000;0.000;4.088;31.1;31.1;56.7;31.1;12.52;0.00;0.00;5.14;
58147604;1.753;0.000;0.000;4.037;31.1;31.1;56.7;31.1;12.52;0.00;0.00;5.14;
58147614;1.802;0.000;0.000;3.990;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147624;1.763;0.000;0.000;4.108;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147634;1.763;0.000;0.000;4.068;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147644;1.759;0.000;0.000;4.125;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147654;1.743;0.000;0.000;4.071;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147664;1.751;0.000;0.000;4.065;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147674;1.735;0.000;0.000;4.133;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147684;1.759;0.000;0.000;4.071;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147694;1.755;0.000;0.000;4.102;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147704;1.759;0.000;0.000;4.111;31.1;31.1;57.0;31.1;12.51;0.00;0.00;5.16;
58147714;1.745;0.000;0.000;4.064;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147724;1.757;0.000;0.000;4.084;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147734;1.745;0.000;0.000;4.110;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147744;1.745;0.000;0.000;4.078;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147754;1.768;0.000;0.000;4.101;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147764;1.761;0.000;0.000;4.107;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147774;1.745;0.000;0.000;4.079;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147784;1.776;0.000;0.000;4.109;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147794;1.761;0.000;0.000;4.047;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147804;1.757;0.000;0.000;4.113;31.1;31.1;57.0;31.1;12.52;0.00;0.00;5.15;
58147814;1.756;0.000;0.000;4.089;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147824;1.763;0.000;0.000;4.040;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147834;1.748;0.000;0.000;4.115;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147844;1.767;0.000;0.000;4.051;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147854;1.748;0.000;0.000;4.097;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147864;1.748;0.000;0.000;4.106;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147874;1.752;0.000;0.000;4.048;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147884;1.791;0.000;0.000;4.092;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147894;1.756;0.000;0.000;4.058;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147904;1.748;0.000;0.000;4.103;31.1;31.1;56.9;31.1;12.54;0.00;0.00;5.14;
58147914;1.770;0.000;0.000;4.106;31.1;31.1;67.7;31.1;12.53;0.00;0.00;5.15;
58147924;1.758;0.000;0.000;4.067;31.1;31.1;67.7;31.1;12.53;0.00;0.00;5.15;
58147934;1.742;0.000;0.000;3.705;31.1;31.1;67.7;31.1;12.53;0.00;0.00;5.15;
58147944;1.750;0.000;0.000;4.036;31.1;31.1;67.7;31.1;12.53;0.00;0.00;5.15;
58147954;1.758;0.000;0.000;4.092;31.1;31.1;67.7;31.1;12.53;0.00;0.00;5.15;
