20160122_161247;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
58366587;1.448;2.216;1.295;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
58366597;1.499;2.290;1.388;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
58366607;1.393;2.095;1.263;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
58366617;1.381;2.001;1.255;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
58366627;1.404;2.056;1.255;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
58366637;1.390;2.057;1.264;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366647;1.354;1.975;1.233;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366657;1.323;1.877;1.217;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366667;1.295;1.897;1.198;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366677;1.299;1.897;1.186;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366687;1.335;2.167;1.292;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366697;1.382;2.226;1.339;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366707;1.465;2.241;1.335;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366717;1.669;2.844;1.585;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366727;1.402;2.081;1.284;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
58366737;1.554;2.492;1.455;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366747;1.341;1.963;1.223;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366757;1.376;1.994;1.243;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366767;1.471;2.284;1.372;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366777;1.451;2.249;1.337;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366787;1.293;1.861;1.211;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366797;1.637;2.649;1.545;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366807;1.542;2.554;1.462;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366817;1.404;2.245;1.329;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366827;1.416;2.167;1.302;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.48;0.00;
58366837;1.401;2.070;1.287;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366847;1.389;2.074;1.272;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366857;1.393;2.054;1.260;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366867;1.546;2.409;1.443;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366877;1.334;1.917;1.233;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366887;1.334;1.898;1.194;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366897;1.303;1.870;1.190;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366907;1.295;1.878;1.198;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366917;1.625;2.702;1.533;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366927;1.326;2.062;1.307;0.000;31.1;31.1;31.1;31.1;12.47;12.44;12.42;0.00;
58366937;1.415;2.200;1.301;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366947;1.423;2.161;1.308;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366957;1.478;2.357;1.402;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366967;1.419;2.103;1.312;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366977;1.517;2.333;1.426;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366987;1.321;1.923;1.226;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58366997;1.352;1.903;1.238;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58367007;1.344;1.923;1.222;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58367017;1.289;1.872;1.175;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58367027;1.289;1.837;1.187;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.47;0.00;
58367037;1.604;2.628;1.542;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.46;0.00;
