20160122_161247;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
58366585;0.034;4.085;1.304;1.453;31.1;31.3;31.2;31.1;0.88;12.57;12.61;12.62;
58366595;0.033;4.025;1.264;1.397;31.1;31.3;31.2;31.1;0.88;12.57;12.61;12.62;
58366605;0.033;4.033;1.268;1.389;31.1;31.3;31.2;31.1;0.88;12.57;12.61;12.62;
58366615;0.034;4.001;1.224;1.369;31.1;31.3;31.2;31.1;0.88;12.57;12.61;12.62;
58366625;0.033;4.017;1.232;1.417;31.1;31.3;31.2;31.1;0.88;12.57;12.61;12.62;
58366635;0.034;4.166;1.351;1.492;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366645;0.034;4.206;1.370;1.543;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366655;0.034;4.178;1.331;1.472;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366665;0.034;4.241;1.370;1.508;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366675;0.034;4.131;1.307;1.437;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366685;0.034;4.566;1.520;1.681;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366695;0.034;4.087;1.272;1.413;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366705;0.034;4.063;1.252;1.390;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366715;0.034;4.403;1.445;1.563;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366725;0.034;4.174;1.311;1.457;31.1;31.3;31.2;31.1;0.89;12.53;12.53;12.52;
58366735;0.034;4.388;1.477;1.612;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366745;0.034;3.981;1.227;1.398;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366755;0.034;4.096;1.267;1.437;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366765;0.034;4.132;1.350;1.509;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366775;0.033;4.546;1.532;1.675;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366785;0.034;4.179;1.334;1.465;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366795;0.034;4.499;1.552;1.707;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366805;0.034;4.831;1.635;1.766;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366815;0.034;4.057;1.267;1.414;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366825;0.034;4.033;1.267;1.402;31.1;31.3;31.2;31.1;0.89;12.51;12.56;12.59;
58366835;0.038;4.024;1.255;1.376;31.1;31.2;31.2;31.1;0.94;12.52;12.60;12.61;
58366845;0.038;4.020;1.259;1.388;31.1;31.2;31.2;31.1;0.94;12.52;12.60;12.61;
