20160122_151259;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
54778879;1.312;2.004;1.264;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778889;1.728;3.061;1.683;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778899;1.571;2.568;1.460;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778909;1.441;2.247;1.311;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778919;1.657;2.689;1.530;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778929;1.488;2.329;1.366;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778939;1.410;2.126;1.296;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778949;1.716;2.756;1.609;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778959;1.327;1.926;1.198;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778969;1.327;1.934;1.237;0.000;31.1;31.1;31.1;31.1;12.48;12.47;12.46;0.00;
54778979;1.448;2.130;1.289;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54778989;1.467;2.212;1.355;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54778999;1.326;2.114;1.328;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779009;1.550;2.623;1.540;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779019;1.440;2.251;1.332;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779029;1.617;2.588;1.508;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779039;1.393;2.094;1.269;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779049;1.381;2.004;1.261;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779059;1.577;2.454;1.449;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779069;1.672;2.638;1.551;0.000;31.1;31.1;31.1;31.1;12.50;12.47;12.47;0.00;
54779079;1.358;1.935;1.214;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779089;1.516;2.325;1.414;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779099;1.307;1.872;1.187;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779109;1.319;1.872;1.230;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779119;1.496;2.478;1.430;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779129;1.386;2.228;1.312;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779139;1.630;2.591;1.532;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779149;1.555;2.454;1.402;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779159;1.390;2.091;1.297;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779169;1.594;2.450;1.446;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.47;0.00;
54779179;1.576;2.435;1.417;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779189;1.537;2.372;1.413;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779199;1.549;2.450;1.452;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779209;1.304;1.880;1.170;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779219;1.320;1.872;1.209;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779229;1.292;1.907;1.213;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779239;1.344;2.185;1.319;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779249;1.612;2.728;1.534;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779259;1.434;2.196;1.307;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779269;1.474;2.247;1.323;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
54779279;1.581;2.554;1.488;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779289;1.377;2.031;1.269;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779299;1.522;2.320;1.417;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779309;1.660;2.651;1.550;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779319;1.330;1.933;1.206;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779329;1.507;2.304;1.398;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779339;1.357;1.999;1.226;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779349;1.424;2.261;1.351;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779359;1.530;2.577;1.456;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779369;1.448;2.343;1.324;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00;
54779379;1.430;2.167;1.291;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
54779389;1.576;2.452;1.435;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
54779399;1.588;2.515;1.463;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
54779409;1.344;1.937;1.224;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
54779419;1.923;3.249;1.776;0.000;31.1;31.1;31.1;31.1;12.52;12.44;12.45;0.00;
54779429;1.317;1.911;1.216;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779439;1.505;2.380;1.381;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779449;1.509;2.349;1.404;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779459;1.313;1.872;1.193;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779469;1.285;1.954;1.240;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779479;1.391;2.239;1.369;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
54779489;1.442;2.239;1.326;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
