20160122_151259;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
54778880;0.034;4.106;1.300;1.478;31.1;31.5;31.4;31.1;0.89;12.54;12.61;12.63;
54778890;0.034;5.009;1.781;1.939;31.1;31.5;31.4;31.1;0.89;12.54;12.61;12.63;
54778900;0.034;4.435;1.463;1.601;31.1;31.5;31.4;31.1;0.89;12.54;12.61;12.63;
54778910;0.034;4.205;1.371;1.510;31.1;31.5;31.4;31.1;0.89;12.54;12.61;12.63;
54778920;0.034;4.546;1.546;1.684;31.1;31.5;31.4;31.1;0.89;12.54;12.61;12.63;
54778930;0.034;4.267;1.378;1.536;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778940;0.034;4.180;1.378;1.497;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778950;0.034;4.618;1.591;1.734;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778960;0.034;4.026;1.275;1.398;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778970;0.034;3.983;1.251;1.382;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778980;0.034;4.046;1.239;1.394;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54778990;0.034;4.302;1.386;1.544;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54779000;0.034;4.350;1.469;1.659;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54779010;0.034;4.200;1.350;1.544;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54779020;0.034;4.168;1.362;1.513;31.1;31.4;31.4;31.1;0.89;12.49;12.56;12.59;
54779030;0.034;4.504;1.525;1.667;31.1;31.4;31.4;31.2;0.89;12.47;12.57;12.56;
54779040;0.034;4.063;1.327;1.454;31.1;31.4;31.4;31.2;0.89;12.47;12.57;12.56;
54779050;0.034;4.082;1.335;1.461;31.1;31.4;31.4;31.2;0.89;12.47;12.57;12.56;
54779060;0.034;4.413;1.474;1.616;31.1;31.4;31.4;31.2;0.89;12.47;12.57;12.56;
54779070;0.034;4.610;1.585;1.738;31.1;31.4;31.4;31.2;0.89;12.47;12.57;12.56;
54779080;0.034;3.992;1.276;1.394;31.1;31.4;31.4;31.1;0.89;12.47;12.57;12.56;
54779090;0.034;4.354;1.434;1.588;31.1;31.4;31.4;31.1;0.89;12.47;12.57;12.56;
54779100;0.034;3.964;1.244;1.386;31.1;31.4;31.4;31.1;0.89;12.47;12.57;12.56;
54779110;0.034;3.968;1.232;1.386;31.1;31.4;31.4;31.1;0.89;12.47;12.57;12.56;
54779120;0.034;4.303;1.430;1.572;31.1;31.4;31.4;31.1;0.89;12.47;12.57;12.56;
54779130;0.039;4.062;1.303;1.476;31.1;31.4;31.4;31.1;0.96;12.49;12.57;12.58;
54779140;0.040;4.594;1.601;1.769;31.1;31.4;31.4;31.1;0.96;12.49;12.57;12.58;
54779150;0.040;4.385;1.462;1.594;31.1;31.4;31.4;31.1;0.96;12.49;12.57;12.58;
54779160;0.040;4.129;1.347;1.468;31.1;31.4;31.4;31.1;0.96;12.49;12.57;12.58;
54779170;0.040;4.531;1.537;1.697;31.1;31.4;31.4;31.1;0.96;12.49;12.57;12.58;
54779180;0.034;4.470;1.521;1.690;31.1;31.4;31.5;31.1;0.89;12.55;12.60;12.64;
54779190;0.034;4.486;1.501;1.666;31.1;31.4;31.5;31.1;0.89;12.55;12.60;12.64;
54779200;0.034;4.474;1.485;1.618;31.1;31.4;31.5;31.1;0.89;12.55;12.60;12.64;
54779210;0.034;3.995;1.247;1.388;31.1;31.4;31.5;31.1;0.89;12.55;12.60;12.64;
