20160122_152428;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
55468275;1.744;0.000;0.000;4.113;31.1;31.1;55.7;31.1;12.54;0.00;0.00;5.16;
55468285;1.748;0.000;0.000;4.121;31.1;31.1;55.7;31.1;12.54;0.00;0.00;5.16;
55468295;1.756;0.000;0.000;4.096;31.1;31.1;55.7;31.1;12.54;0.00;0.00;5.16;
55468305;1.759;0.000;0.000;4.131;31.1;31.1;55.7;31.1;12.54;0.00;0.00;5.16;
55468315;1.732;0.000;0.000;4.076;31.1;31.1;55.7;31.1;12.54;0.00;0.00;5.16;
55468325;1.745;0.000;0.000;4.133;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468335;1.741;0.000;0.000;4.133;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468345;1.745;0.000;0.000;4.074;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468355;1.729;0.000;0.000;4.136;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468365;1.753;0.000;0.000;4.093;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468375;1.737;0.000;0.000;4.093;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468385;1.757;0.000;0.000;4.131;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468395;1.745;0.000;0.000;4.085;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468405;1.745;0.000;0.000;4.108;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468415;1.745;0.000;0.000;4.111;31.1;31.1;66.1;31.1;12.52;0.00;0.00;5.16;
55468425;1.751;0.000;0.000;4.052;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468435;1.770;0.000;0.000;4.112;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468445;1.735;0.000;0.000;4.070;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468455;1.707;0.000;0.000;4.150;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468465;1.743;0.000;0.000;4.078;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468475;1.727;0.000;0.000;4.070;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468485;1.727;0.000;0.000;4.141;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468495;1.719;0.000;0.000;4.081;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468505;1.711;0.000;0.000;4.129;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468515;1.727;0.000;0.000;4.107;31.1;31.1;65.2;31.1;12.56;0.00;0.00;5.15;
55468525;1.731;0.000;0.000;4.096;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468535;1.739;0.000;0.000;4.153;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468545;1.707;0.000;0.000;4.117;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468555;1.727;0.000;0.000;4.131;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468565;1.715;0.000;0.000;3.916;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468575;1.707;0.000;0.000;4.074;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468585;1.739;0.000;0.000;4.153;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468595;1.747;0.000;0.000;4.093;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468605;1.711;0.000;0.000;4.147;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468615;1.715;0.000;0.000;4.121;31.1;31.1;55.3;31.1;12.56;0.00;0.00;5.16;
55468625;1.725;0.000;0.000;4.077;31.1;31.1;65.1;31.1;12.52;0.00;0.00;5.16;
55468635;1.705;0.000;0.000;4.147;31.1;31.1;65.1;31.1;12.52;0.00;0.00;5.16;
55468645;1.717;0.000;0.000;4.125;31.1;31.1;65.1;31.1;12.52;0.00;0.00;5.16;
55468655;1.733;0.000;0.000;4.124;31.1;31.1;65.1;31.1;12.52;0.00;0.00;5.16;
55468665;1.717;0.000;0.000;4.094;31.1;31.1;65.1;31.1;12.52;0.00;0.00;5.16;
55468675;1.730;0.000;0.000;4.113;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468685;1.734;0.000;0.000;4.129;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468695;1.734;0.000;0.000;4.093;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468705;1.715;0.000;0.000;4.154;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468715;1.722;0.000;0.000;4.096;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468725;1.730;0.000;0.000;4.092;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468735;1.703;0.000;0.000;4.154;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468745;1.734;0.000;0.000;4.087;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468755;1.726;0.000;0.000;4.116;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468765;1.730;0.000;0.000;4.121;31.1;31.1;55.4;31.1;12.53;0.00;0.00;5.15;
55468775;1.754;0.000;0.000;4.083;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468785;1.746;0.000;0.000;4.069;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468795;1.730;0.000;0.000;4.092;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468805;1.746;0.000;0.000;4.075;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468815;1.738;0.000;0.000;4.103;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468825;1.706;0.000;0.000;4.098;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468835;1.714;0.000;0.000;4.067;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468845;1.746;0.000;0.000;4.083;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468855;1.742;0.000;0.000;4.044;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468865;1.730;0.000;0.000;4.126;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
