20160122_154433;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
56673543;1.453;2.243;1.313;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673553;1.417;2.162;1.317;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673563;1.374;2.037;1.266;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673573;1.370;2.029;1.239;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673583;1.362;1.974;1.243;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673593;1.681;2.653;1.563;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673603;1.339;1.935;1.223;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673613;1.299;1.892;1.184;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673623;1.323;1.908;1.231;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673633;1.339;2.021;1.258;0.000;31.1;31.1;31.1;31.1;12.51;12.43;12.44;0.00;
56673643;1.411;2.269;1.330;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
56673653;1.438;2.265;1.287;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
56673663;1.446;2.210;1.310;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
56673673;1.430;2.179;1.326;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
56673683;1.379;2.057;1.287;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
56673693;1.364;1.995;1.249;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673703;1.321;1.956;1.241;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673713;1.639;2.616;1.511;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673723;1.352;1.972;1.249;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673733;1.317;1.917;1.174;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673743;1.305;1.870;1.217;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673753;1.297;2.077;1.264;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673763;1.407;2.308;1.343;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673773;1.458;2.288;1.346;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673783;1.442;2.222;1.296;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.46;0.00;
56673793;1.391;2.056;1.270;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
56673803;1.372;1.998;1.266;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
56673813;1.399;2.064;1.243;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
56673823;1.328;1.970;1.247;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
56673833;1.883;3.184;1.755;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
56673843;1.529;2.485;1.426;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.44;0.00;
