20160122_154433;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
56673531;1.944;0.000;0.000;4.214;31.1;31.1;55.0;31.1;12.53;0.00;0.00;5.14;
56673541;1.956;0.000;0.000;4.310;31.1;31.1;55.0;31.1;12.53;0.00;0.00;5.14;
56673551;1.940;0.000;0.000;4.233;31.1;31.1;55.0;31.1;12.53;0.00;0.00;5.14;
56673561;1.956;0.000;0.000;4.280;31.1;31.1;55.0;31.1;12.53;0.00;0.00;5.14;
56673571;1.963;0.000;0.000;4.251;31.1;31.1;55.0;31.1;12.53;0.00;0.00;5.14;
56673581;1.930;0.000;0.000;4.254;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673591;1.965;0.000;0.000;4.283;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673601;1.949;0.000;0.000;4.257;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673611;1.945;0.000;0.000;4.314;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673621;1.965;0.000;0.000;4.222;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673631;1.941;0.000;0.000;4.243;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673641;1.945;0.000;0.000;4.311;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673651;1.957;0.000;0.000;4.246;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673661;1.949;0.000;0.000;4.280;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673671;1.933;0.000;0.000;4.311;31.1;31.1;64.8;31.1;12.54;0.00;0.00;5.15;
56673681;1.954;0.000;0.000;4.248;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673691;1.942;0.000;0.000;4.283;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673701;1.954;0.000;0.000;4.302;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673711;1.950;0.000;0.000;4.280;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673721;1.946;0.000;0.000;4.316;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673731;1.942;0.000;0.000;4.299;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673741;1.942;0.000;0.000;4.280;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673751;1.958;0.000;0.000;4.328;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673761;1.942;0.000;0.000;4.235;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673771;1.950;0.000;0.000;4.320;31.1;31.1;64.0;31.1;12.52;0.18;0.00;5.16;
56673781;1.956;0.000;0.000;3.902;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673791;1.941;0.000;0.000;4.273;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673801;1.944;0.000;0.000;4.303;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673811;1.948;0.000;0.000;4.226;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673821;1.944;0.000;0.000;4.324;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673831;1.960;0.000;0.000;3.466;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673841;1.964;0.000;0.000;3.209;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673851;1.937;0.000;0.000;3.217;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673861;1.929;0.000;0.000;3.218;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673871;1.960;0.000;0.000;3.215;31.1;31.1;63.7;31.1;12.51;0.00;0.00;5.15;
56673881;1.959;0.000;0.000;3.208;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673891;1.923;0.000;0.000;3.208;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673901;1.947;0.000;0.000;3.204;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673911;1.947;0.000;0.000;3.208;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673921;1.927;0.000;0.000;3.200;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673931;1.939;0.000;0.000;4.203;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673941;1.955;0.000;0.000;4.285;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673951;1.923;0.000;0.000;4.254;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673961;1.943;0.000;0.000;4.311;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673971;1.959;0.000;0.000;4.223;31.1;31.1;63.3;31.1;12.50;0.00;0.00;5.15;
56673981;1.938;0.000;0.000;4.215;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
56673991;1.946;0.000;0.000;4.320;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
56674001;1.946;0.000;0.000;4.223;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
56674011;1.942;0.000;0.000;4.299;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
56674021;1.958;0.000;0.000;4.274;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
56674031;1.937;0.000;0.000;4.205;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674041;1.925;0.000;0.000;4.279;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674051;1.960;0.000;0.000;4.247;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674061;1.948;0.000;0.000;4.273;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674071;1.933;0.000;0.000;4.209;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674081;1.941;0.000;0.000;4.253;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674091;1.909;0.000;0.000;4.268;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674101;1.992;0.000;0.000;4.189;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674111;1.937;0.000;0.000;4.245;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674121;1.944;0.000;0.000;4.275;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674131;1.937;0.000;0.000;4.311;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674141;1.952;0.000;0.000;4.291;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674151;1.952;0.000;0.000;4.313;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674161;1.921;0.000;0.000;4.238;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674171;1.937;0.000;0.000;4.340;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674181;1.956;0.000;0.000;4.316;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674191;1.941;0.000;0.000;4.227;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674201;1.944;0.000;0.000;4.327;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674211;1.960;0.000;0.000;4.269;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674221;1.968;0.000;0.000;4.308;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674231;1.933;0.000;0.000;4.314;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674241;1.937;0.000;0.000;4.243;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674251;1.964;0.000;0.000;4.301;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
