20160122_155400;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
57239966;0.034;4.068;1.307;1.434;31.1;31.2;31.2;31.1;0.88;12.52;12.60;12.63;
57239976;0.033;4.056;1.283;1.422;31.1;31.2;31.2;31.1;0.88;12.52;12.60;12.63;
57239986;0.034;4.095;1.311;1.430;31.1;31.2;31.2;31.1;0.88;12.52;12.60;12.63;
57239996;0.033;4.032;1.251;1.410;31.1;31.2;31.2;31.1;0.88;12.52;12.60;12.63;
57240006;0.034;4.503;1.529;1.684;31.1;31.2;31.2;31.1;0.88;12.52;12.60;12.63;
57240016;0.034;3.968;1.222;1.372;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240026;0.034;3.976;1.230;1.372;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240036;0.033;4.027;1.274;1.460;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240046;0.034;4.142;1.318;1.499;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240056;0.033;4.273;1.437;1.575;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240066;0.034;4.162;1.349;1.491;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240076;0.034;4.154;1.341;1.495;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240086;0.034;4.122;1.298;1.444;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240096;0.034;4.071;1.298;1.452;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240106;0.033;4.071;1.294;1.416;31.1;31.2;31.2;31.1;0.88;12.54;12.59;12.61;
57240116;0.034;4.459;1.531;1.676;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240126;0.034;4.293;1.356;1.518;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240136;0.034;4.020;1.269;1.387;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240146;0.034;3.988;1.233;1.359;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240156;0.034;3.968;1.241;1.383;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240166;0.033;4.059;1.301;1.470;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240176;0.033;4.241;1.408;1.553;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240186;0.033;4.229;1.360;1.502;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240196;0.033;4.158;1.340;1.482;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240206;0.033;4.154;1.352;1.486;31.1;31.2;31.2;31.1;0.88;12.53;12.58;12.60;
57240216;0.034;4.062;1.289;1.424;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240226;0.034;4.098;1.301;1.444;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240236;0.034;4.486;1.519;1.666;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240246;0.034;4.137;1.293;1.424;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240256;0.034;4.034;1.277;1.408;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240266;0.034;4.042;1.261;1.408;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240276;0.034;3.995;1.237;1.388;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240286;0.034;4.014;1.257;1.444;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240296;0.034;4.173;1.364;1.563;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240306;0.034;4.225;1.376;1.507;31.1;31.3;31.2;31.1;0.89;12.55;12.58;12.61;
57240316;0.035;4.162;1.325;1.481;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240326;0.035;4.546;1.523;1.687;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240336;0.035;4.126;1.329;1.461;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240346;0.035;4.051;1.297;1.421;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240356;0.035;4.767;1.669;1.830;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240366;0.035;4.106;1.313;1.457;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240376;0.035;4.075;1.274;1.417;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240386;0.035;3.983;1.230;1.381;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240396;0.035;3.972;1.238;1.369;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240406;0.035;3.979;1.230;1.409;31.1;31.3;31.1;31.1;0.90;12.54;12.55;12.62;
57240416;0.034;4.158;1.349;1.519;31.1;31.2;31.2;31.1;0.89;12.54;12.59;12.61;
57240426;0.034;4.197;1.377;1.523;31.1;31.2;31.2;31.1;0.89;12.54;12.59;12.61;
57240436;0.034;4.162;1.337;1.487;31.1;31.2;31.2;31.1;0.89;12.54;12.59;12.61;
57240446;0.034;4.201;1.389;1.519;31.1;31.2;31.2;31.1;0.89;12.54;12.59;12.61;
57240456;0.034;4.098;1.325;1.483;31.1;31.2;31.2;31.1;0.89;12.54;12.59;12.61;
57240466;0.032;4.078;1.290;1.413;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240476;0.033;4.637;1.579;1.735;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240486;0.033;4.038;1.258;1.389;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240496;0.033;4.042;1.282;1.409;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240506;0.033;3.971;1.238;1.381;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240516;0.033;4.003;1.246;1.377;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240526;0.033;3.975;1.222;1.365;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240536;0.033;4.003;1.254;1.441;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240546;0.032;4.137;1.314;1.508;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240556;0.033;4.197;1.389;1.508;31.1;31.2;31.2;31.1;0.87;12.55;12.59;12.62;
57240566;0.035;4.163;1.346;1.482;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240576;0.035;4.167;1.346;1.502;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240586;0.035;4.279;1.409;1.529;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240596;0.035;4.672;1.644;1.784;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240606;0.035;4.032;1.278;1.422;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240616;0.035;4.024;1.270;1.398;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240626;0.035;4.064;1.250;1.402;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240636;0.035;4.028;1.250;1.379;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240646;0.035;4.020;1.238;1.382;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240656;0.035;3.989;1.250;1.390;31.1;31.2;31.2;31.1;0.90;12.58;12.63;12.63;
57240666;0.033;4.088;1.298;1.489;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240676;0.034;4.155;1.338;1.505;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240686;0.034;4.262;1.401;1.548;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240696;0.034;4.143;1.326;1.461;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240706;0.034;4.167;1.365;1.505;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240716;0.034;4.270;1.397;1.552;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240726;0.034;4.286;1.377;1.513;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240736;0.034;4.045;1.267;1.398;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240746;0.034;4.396;1.440;1.596;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240756;0.034;4.033;1.255;1.382;31.1;31.2;31.2;31.1;0.89;12.51;12.52;12.56;
57240766;0.034;4.070;1.275;1.412;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240776;0.033;4.011;1.259;1.376;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240786;0.034;4.363;1.429;1.598;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240796;0.032;4.161;1.350;1.543;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240806;0.034;4.201;1.378;1.515;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240816;0.034;4.981;1.722;1.884;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240826;0.033;4.752;1.663;1.836;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240836;0.033;4.125;1.318;1.467;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240846;0.033;4.070;1.291;1.432;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240856;0.034;4.034;1.275;1.412;31.1;31.2;31.2;31.1;0.88;12.55;12.56;12.61;
57240866;0.034;4.054;1.277;1.392;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240876;0.034;3.999;1.241;1.384;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240886;0.034;4.026;1.257;1.412;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240896;0.034;3.999;1.233;1.384;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240906;0.034;3.975;1.221;1.372;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240916;0.033;4.054;1.305;1.448;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240926;0.034;4.205;1.384;1.555;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240936;0.034;4.197;1.368;1.503;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240946;0.034;4.585;1.546;1.729;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240956;0.034;4.157;1.352;1.495;31.1;31.2;31.2;31.1;0.89;12.55;12.58;12.61;
57240966;0.034;4.067;1.303;1.427;31.1;31.2;31.2;31.1;0.89;12.54;12.57;12.60;
57240976;0.034;4.102;1.303;1.443;31.1;31.2;31.2;31.1;0.89;12.54;12.57;12.60;
57240986;0.034;4.067;1.276;1.431;31.1;31.2;31.2;31.1;0.89;12.54;12.57;12.60;
57240996;0.034;4.011;1.260;1.387;31.1;31.2;31.2;31.1;0.89;12.54;12.57;12.60;
57241006;0.034;4.059;1.272;1.399;31.1;31.2;31.2;31.1;0.89;12.54;12.57;12.60;
57241016;0.034;4.066;1.269;1.418;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241026;0.034;4.038;1.245;1.390;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241036;0.034;3.983;1.233;1.414;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241046;0.034;4.121;1.320;1.524;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241056;0.034;4.228;1.388;1.540;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241066;0.034;4.621;1.550;1.667;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241076;0.034;4.225;1.380;1.513;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241086;0.034;4.145;1.344;1.457;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241096;0.034;4.078;1.285;1.429;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241106;0.034;4.102;1.297;1.418;31.1;31.2;31.1;31.1;0.89;12.55;12.58;12.59;
57241116;0.038;4.120;1.325;1.461;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241126;0.038;4.045;1.270;1.402;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241136;0.038;3.985;1.238;1.402;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241146;0.038;3.978;1.250;1.386;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241156;0.038;3.989;1.234;1.390;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241166;0.037;4.128;1.333;1.501;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241176;0.038;4.483;1.566;1.754;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241186;0.038;4.376;1.448;1.588;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241196;0.038;4.238;1.369;1.524;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241206;0.038;4.096;1.321;1.461;31.1;31.2;31.2;31.1;0.94;12.51;12.55;12.59;
57241216;0.034;4.111;1.316;1.440;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
57241226;0.034;5.317;1.979;2.134;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
57241236;0.034;4.032;1.281;1.404;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
57241246;0.034;4.451;1.499;1.642;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
57241256;0.034;4.005;1.233;1.400;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
57241266;0.034;3.949;1.221;1.368;31.1;31.3;31.2;31.1;0.89;12.52;12.58;12.61;
